target_rent_kzt,area_m2,rooms,lat,lon,year_built,floor_current,floors_total,ceiling_height_m,photo_count,has_photo,has_complex_id,has_microdistrict,complex_listing_count,floor_ratio,building_age,area_per_room,is_first_floor,is_last_floor,dist_to_center_km,bus_stops_count_1000m,bus_stops_count_300m,bus_stops_count_500m,bus_stops_mean_dist_km_3,bus_stops_mean_dist_km_5,bus_stops_nearest_dist_m,clinics_count_1000m,clinics_count_300m,clinics_count_500m,clinics_mean_dist_km_3,clinics_mean_dist_km_5,clinics_nearest_dist_m,dentistry_count_1000m,dentistry_count_300m,dentistry_count_500m,dentistry_mean_dist_km_3,dentistry_mean_dist_km_5,dentistry_nearest_dist_m,energy_count_1000m,energy_count_300m,energy_count_500m,energy_mean_dist_km_3,energy_mean_dist_km_5,energy_nearest_dist_m,fitness_count_1000m,fitness_count_300m,fitness_count_500m,fitness_mean_dist_km_3,fitness_mean_dist_km_5,fitness_nearest_dist_m,hospitals_count_1000m,hospitals_count_300m,hospitals_count_500m,hospitals_mean_dist_km_3,hospitals_mean_dist_km_5,hospitals_nearest_dist_m,kindergartens_count_1000m,kindergartens_count_300m,kindergartens_count_500m,kindergartens_mean_dist_km_3,kindergartens_mean_dist_km_5,kindergartens_nearest_dist_m,medcenters_count_1000m,medcenters_count_300m,medcenters_count_500m,medcenters_mean_dist_km_3,medcenters_mean_dist_km_5,medcenters_nearest_dist_m,metro_count_1000m,metro_count_300m,metro_count_500m,metro_mean_dist_km_3,metro_mean_dist_km_5,metro_nearest_dist_m,parks_count_1000m,parks_count_300m,parks_count_500m,parks_mean_dist_km_3,parks_mean_dist_km_5,parks_nearest_dist_m,polyclinics_count_1000m,polyclinics_count_300m,polyclinics_count_500m,polyclinics_mean_dist_km_3,polyclinics_mean_dist_km_5,polyclinics_nearest_dist_m,restaurants_coffee_count_1000m,restaurants_coffee_count_300m,restaurants_coffee_count_500m,restaurants_coffee_mean_dist_km_3,restaurants_coffee_mean_dist_km_5,restaurants_coffee_nearest_dist_m,schools_count_1000m,schools_count_300m,schools_count_500m,schools_mean_dist_km_3,schools_mean_dist_km_5,schools_nearest_dist_m,supermarkets_count_1000m,supermarkets_count_300m,supermarkets_count_500m,supermarkets_mean_dist_km_3,supermarkets_mean_dist_km_5,supermarkets_nearest_dist_m,transport_count_1000m,transport_count_300m,transport_count_500m,transport_mean_dist_km_3,transport_mean_dist_km_5,transport_nearest_dist_m,universities_count_1000m,universities_count_300m,universities_count_500m,universities_mean_dist_km_3,universities_mean_dist_km_5,universities_nearest_dist_m,air_pm25_cold_night,air_pm25_cold_day,air_pm25_warm_night,air_pm25_warm_day,air_nearest_dist_m,district_crime_count,district_crime_index,district,house_type,condition,bathroom_type,furnished
80000,20.0,1,43.271477,76.924292,,2,3,,6,1.0,0,0,0,0.6666667,,20.0,0,0,2.0269728,12,1,3,0.38470042,0.4685729,275.13138,0,0,0,1.0840884,1.135832,1054.2324,3,0,0,0.87352896,1.0206977,685.1324,1,0,0,1.7409542,2.2895145,633.26196,5,0,1,0.6282253,0.7490184,491.12476,0,0,0,1.8613467,1.904023,1837.2626,3,1,2,0.45223045,0.711591,239.43896,1,0,0,1.4102119,1.7375576,663.9548,0,0,0,2.2115507,2.7073767,1649.6587,0,0,0,2.223117,2.415478,1432.1337,0,0,0,1.281479,1.3905097,1222.762,54,2,7,0.2615815,0.32022962,204.50009,1,0,1,0.9007601,1.0720267,332.0605,13,0,3,0.42867517,0.49081695,391.3316,0,0,0,3.7925766,5.464455,1222.5433,1,0,0,1.3192104,1.5967176,987.91693,75.59757,72.040306,41.854763,42.623455,1089.076,1933.0,0.40944716,Жетысуский район,unknown,"не новый, но аккуратный и чистый ремонт",совмещен,частично
350000,50.0,2,43.251796321444,76.897382320034,,11,13,,22,1.0,1,0,13,0.84615386,,25.0,0,0,3.0672903,25,3,5,0.11849503,0.21980132,25.712633,17,1,2,0.39417177,0.4873368,122.09444,24,4,8,0.1768584,0.22636425,117.497536,0,0,0,1.8119435,2.6542275,1072.9742,8,1,2,0.35980505,0.5284788,194.4148,0,0,0,2.0800476,2.228937,1810.1614,12,1,1,0.4892235,0.5686991,277.5788,6,1,2,0.43311885,0.5908865,196.51236,0,0,0,1.9648867,2.4195457,1483.6635,1,0,0,1.576645,2.0412145,915.3438,0,0,0,1.2474331,1.4090703,1085.6781,73,8,26,0.06820483,0.07280773,61.568203,6,0,1,0.49058965,0.59102285,347.86734,21,4,9,0.14080378,0.20285013,102.609695,0,0,0,4.2942176,5.671897,3258.8113,0,0,0,2.106115,2.2511616,2091.865,69.686035,69.24446,38.670834,43.22099,760.37897,4721.0,1.0,Алмалинский район,unknown,"свежий ремонт, новая мебель",совмещен,полностью
310000,52.0,2,43.257152,76.912946,,5,5,,38,1.0,0,0,0,1.0,,26.0,0,1,1.8019623,31,4,8,0.11240309,0.18685652,75.36428,12,0,1,0.4968059,0.55324084,342.1098,22,3,8,0.13526268,0.23827165,81.40258,1,0,0,1.6187721,2.354448,851.5043,6,0,2,0.45579478,0.58210325,333.61093,1,0,0,1.0545549,1.1766751,559.0379,12,3,4,0.18409649,0.31409568,102.5186,4,0,0,0.8582373,0.93031,660.51666,0,0,0,2.1726122,2.4092426,1906.5363,0,0,0,1.7227887,1.851461,1590.7694,2,0,0,0.7974463,1.1051182,617.6168,70,7,20,0.1392382,0.1818737,89.12805,8,2,2,0.381857,0.5103318,206.92914,18,1,3,0.32399476,0.41789737,198.44276,0,0,0,4.180955,5.701013,2810.6147,1,0,0,1.172884,1.3539572,880.0425,69.686035,69.24446,38.670834,43.22099,654.49695,4721.0,1.0,Алмалинский район,unknown,"свежий ремонт, новая мебель",разделен,unknown
255000,42.0,1,43.2466,76.922316,,1,5,,4,1.0,0,0,0,0.2,,42.0,1,0,1.3884279,36,2,6,0.27131644,0.32603142,209.89662,27,4,11,0.13910478,0.19846874,105.42686,18,2,4,0.21256524,0.32711715,100.75009,0,0,0,1.7357035,2.360551,1031.9001,16,2,5,0.24859811,0.31313896,200.78197,2,0,0,0.98291165,1.029919,946.05927,11,0,1,0.51278245,0.59008396,457.48846,6,1,2,0.45675597,0.5720103,295.24298,2,0,0,1.238634,1.6162236,795.27264,3,0,1,0.68829983,0.88068414,426.73193,0,0,0,1.2117255,1.3208477,1132.4462,140,19,45,0.12176267,0.1367607,99.0641,2,1,1,0.67084,0.8627782,258.33795,28,4,10,0.1647084,0.20237623,109.628456,0,0,0,4.5926943,6.192068,3315.617,6,0,1,0.50722814,0.5752916,393.37643,61.34264,65.18218,39.04762,42.29136,524.4926,4721.0,1.0,Алмалинский район,unknown,"свежий ремонт, новая мебель",совмещен,полностью
330000,37.0,1,43.246771,76.931137,,2,3,,12,1.0,0,0,0,0.6666667,,37.0,0,0,0.9670335,43,4,11,0.1681988,0.21720695,161.24037,27,1,3,0.25738764,0.3598772,33.687775,15,1,2,0.38215104,0.5054342,249.76413,0,0,0,2.0510983,2.6394591,1717.5784,19,2,9,0.27845466,0.30862904,227.90305,4,0,0,0.865205,0.9191209,835.2597,9,0,4,0.33309898,0.38215917,321.14383,5,0,2,0.4395509,0.63296974,376.54874,1,0,0,1.138283,1.3678383,642.9585,2,0,1,0.6479632,0.9417026,310.17917,2,0,0,0.8970207,1.1155233,636.87335,217,14,49,0.0769895,0.11374422,68.34977,4,1,1,0.45525306,0.6362914,127.03557,36,5,11,0.2125916,0.2326335,169.7164,0,0,0,4.859745,6.3757997,3074.6206,6,1,2,0.411812,0.5426483,157.94736,58.699722,70.31995,37.86369,44.719753,658.7707,4721.0,1.0,Алмалинский район,unknown,"свежий ремонт, новая мебель",совмещен,полностью
160000,42.0,1,43.301566,76.872612,,,,,6,1.0,0,1,0,,,42.0,0,0,7.2331643,23,3,4,0.15819578,0.27816588,112.29057,0,0,0,2.5505693,2.9872165,1611.0857,0,0,0,2.1067054,2.411803,2093.3796,0,0,0,4.5970793,5.2524853,2827.1614,0,0,0,1.8301023,2.180588,1690.1147,0,0,0,5.915034,6.321025,4463.9214,12,2,3,0.27773294,0.4060686,126.725555,0,0,0,1.7165719,2.410725,1666.7267,0,0,0,7.0924716,7.2957993,6744.227,0,0,0,2.322434,2.6181142,2012.2183,1,0,0,1.2096951,1.6769304,618.4948,5,1,2,0.43500355,0.63649625,95.828224,2,1,1,0.69521105,1.2165562,81.72733,3,2,2,0.30476996,0.74307996,95.828224,0,0,0,4.821364,6.595363,1853.1292,0,0,0,6.196098,6.4136877,5640.7197,36.06118,27.388268,28.304783,28.5525,40.148285,3411.0,0.7225164,Алатауский район,unknown,unknown,unknown,частично
370000,54.9,2,43.221009696864,76.886923955006,,13,13,,10,1.0,1,0,78,1.0,,27.45,0,1,5.426989,20,1,3,0.39245993,0.46462262,265.78687,9,0,1,0.5165303,0.56707186,493.20734,12,0,0,0.62115717,0.63972086,615.42676,1,0,0,1.4657559,1.923307,710.6225,6,0,1,0.52398175,0.5645218,428.3301,0,0,0,2.3957937,2.415034,2385.0234,13,0,0,0.65132576,0.67986584,641.3054,1,0,0,1.1973376,1.4224706,685.73566,0,0,0,1.9816854,2.3064566,1906.6436,0,0,0,2.1217082,2.330801,1780.6132,4,0,0,0.8251441,0.98697674,801.53314,51,10,21,0.12002235,0.14223015,88.499275,5,0,2,0.5908186,0.727533,383.99686,31,8,9,0.07610654,0.10607926,57.085514,0,0,0,4.32112,6.176857,2208.0996,1,0,1,0.97232074,1.325558,337.94153,49.17729,57.651257,36.626785,42.91605,524.46606,2909.0,0.616183,Бостандыкский район,unknown,"свежий ремонт, новая мебель",совмещен,полностью
230000,50.0,2,43.295351986193,76.830873932191,,2,5,,5,1.0,1,1,15,0.4,,25.0,0,0,9.549577,12,2,3,0.2572211,0.37884113,141.47984,0,0,0,1.6571438,1.9813603,1469.3019,0,0,0,1.6676459,1.7626872,1567.8889,0,0,0,3.746426,5.4601154,1217.4572,0,0,0,1.2781988,1.4579756,1095.631,0,0,0,5.2808604,6.138181,1190.8988,3,0,0,0.8762276,1.0011197,812.3938,0,0,0,1.874412,2.9363964,1469.3019,0,0,0,7.861626,8.140773,7519.294,1,0,1,1.2397623,1.7663487,443.94595,0,0,0,1.5816191,1.7001883,1469.3019,4,1,1,0.396412,0.59165126,82.58344,0,0,0,1.7643373,1.9695944,1716.4224,2,1,1,0.57932115,0.9001385,130.11693,0,0,0,6.526274,7.896851,5271.103,0,0,0,6.6773114,7.5572023,5194.3193,56.107334,42.617207,20.620247,15.635147,981.4415,3411.0,0.7225164,Алатауский район,unknown,"свежий ремонт, новая мебель",совмещен,полностью
1300000,132.0,4,43.208856,76.895007,,6,8,,15,1.0,0,0,0,0.75,,33.0,0,0,6.0683527,26,2,7,0.22318564,0.306422,137.98969,15,1,5,0.2956544,0.3705056,132.4425,12,4,5,0.13561204,0.1975124,81.93359,1,0,1,1.0902122,2.0759423,480.5624,24,5,7,0.16111022,0.20560572,117.38525,0,0,0,2.799059,2.8749034,2511.0762,21,1,8,0.31853014,0.34877998,276.7869,2,0,0,0.934171,1.2625477,632.5123,0,0,0,3.3304014,3.4661558,3289.246,1,0,0,1.5818552,2.0645514,872.95,2,0,0,0.83828664,1.0729514,635.9604,164,43,68,0.055592436,0.068392605,39.128887,6,0,1,0.6286593,0.70058376,492.7033,35,10,14,0.06495917,0.1040932,9.885146,1,0,0,4.5852404,6.7830386,711.9408,1,0,1,0.96981335,1.255662,341.21216,40.195454,55.352566,35.078915,42.287655,592.25806,2909.0,0.616183,Бостандыкский район,unknown,"свежий ремонт, новая мебель",разделен,полностью
500000,127.0,4,43.206632334711,76.884845495224,,12,18,,27,1.0,1,0,29,0.6666667,,31.75,0,0,6.7406526,27,2,10,0.21852905,0.2757471,56.667175,14,2,4,0.14695519,0.26779428,25.974882,12,2,4,0.1890841,0.29040614,126.3768,0,0,0,1.7927412,2.2636642,1339.0262,18,4,8,0.08074954,0.14446524,20.359118,0,0,0,3.3570907,3.4630163,3120.464,18,1,3,0.34676614,0.42285678,177.32741,1,0,0,1.0510204,1.2860479,604.00397,0,0,0,3.0914261,3.3838458,2870.3472,0,0,0,2.0038238,2.3149076,1730.6113,2,0,0,0.91869813,0.98988724,851.0954,135,9,18,0.061088096,0.08354602,42.348064,7,0,2,0.50355315,0.6752744,424.69916,41,2,3,0.2483809,0.36482084,1.358794,0,0,0,4.849776,6.8544903,1119.9922,3,0,0,0.766182,1.0250014,645.5696,40.65961,59.728783,30.01557,40.595062,386.05936,2909.0,0.616183,Бостандыкский район,unknown,"не новый, но аккуратный и чистый ремонт",разделен,полностью
